0.000000000	0.046439909	N
0.046439909	5.804988662	A
5.804988662	6.826666666	D:maj6
6.826666666	12.492335600	A/5
12.492335600	13.746213151	D
13.746213151	17.925804988	A
17.925804988	19.644081632	F#:min7
19.644081632	21.037278911	C#:min
21.037278911	23.127074829	F#:min
23.127074829	24.613151927	B:min
24.613151927	30.278820861	A/5
30.278820861	31.207619047	D:maj6
31.207619047	36.966167800	A/5
36.966167800	38.452244897	D:min
38.452244897	40.124081632	A:7
40.124081632	42.306757369	A
42.306757369	44.071473922	F#:min7
44.071473922	45.464671201	C#:min
45.464671201	47.554467120	F#:min
47.554467120	49.226303854	B:min
49.226303854	51.873378684	A
51.873378684	53.127256235	B:hdim7/b7
53.127256235	54.566893424	D
54.566893424	56.331609977	E:maj6
56.331609977	58.932244897	A
58.932244897	60.046802721	B:hdim7/b7
60.046802721	61.532879818	D
61.532879818	63.204716553	E:maj6
63.204716553	65.248072562	B:min7
65.248072562	68.545306122	E:7
68.545306122	70.402902494	A
70.402902494	71.331700680	D
71.331700680	77.461768707	A/5
77.461768707	78.483446712	D:maj6
78.483446712	82.570158730	A
82.570158730	84.474195011	F#:min
84.474195011	86.192471655	C#:min
86.192471655	87.817868480	F#:min7
87.817868480	89.489705215	B:min
89.489705215	92.322539682	A
92.322539682	93.529977324	B:hdim7/b7
93.529977324	95.016054421	D
95.016054421	96.920090702	E:maj6
96.920090702	99.427845804	A
99.427845804	100.821043083	B:hdim7/b7
100.821043083	102.074920634	D
102.074920634	103.978956916	E:maj6
103.978956916	105.882993197	B:7
105.882993197	109.691065759	E
109.691065759	111.084263038	A
111.084263038	112.152380952	D
112.152380952	118.328888888	A
118.328888888	119.489886621	D
119.489886621	123.530158730	A/5
123.530158730	125.434195011	F#:min7
125.434195011	126.873832199	C#:min
126.873832199	129.056507936	F#:min
129.056507936	130.728344671	B:min
130.728344671	133.839818594	A
133.839818594	134.582857142	Ab:hdim7/b7
134.582857142	137.740770975	F#:min
137.740770975	141.223764172	D:maj7
141.223764172	144.056598639	A:maj7
144.056598639	151.254784580	A
151.254784580	152.25478458	N
