  0.000	  0.420	N
  0.420	  9.380	A:min
  9.380	 10.910	D:min
 10.910	 12.350	G:maj
 12.350	 15.330	D:min
 15.330	 21.180	G:maj
 21.180	 22.710	C:maj
 22.710	 24.240	E:7
 24.240	 25.770	A:min
 25.770	 28.510	D:min
 28.510	 31.670	G:7
 31.670	 37.570	C:maj
 37.570	 39.980	F:maj
 39.980	 46.160	C:maj
 46.160	 48.810	F:maj
 48.810	 50.430	C:maj
 50.430	 51.870	E:7
 51.870	 53.360	A:min
 53.360	 56.330	D:min
 56.330	 56.980	G:maj
 56.980	 57.820	A:min
 57.820	 58.470	B:min
 58.470	 58.980	G:maj
 58.980	 59.300	E:min
 59.300	 62.320	C:maj
 62.320	 68.360	A:min
 68.360	 74.210	D:min
 74.210	 79.880	G:maj
 79.880	 81.550	C:maj
 81.550	 83.030	E:7
 83.030	 84.520	A:min
 84.520	 87.260	D:min
 87.260	 89.950	G:maj
 89.950	 91.120	C:maj
 91.120	 91.630	N
